file	command	branch	stream	exit	bytes	sha256
contract.validate.credential_invalid.jsonl	contract.validate	credential_invalid	stdout	2	173	c35df6881708ee34835840caf9789f31763dc40fe9886fb4e0ae669cc4517651
contract.validate.credential_required.jsonl	contract.validate	credential_required	stdout	2	177	dcc95872bf15340fba4a0d89f4379cde2524716d0616a76ca6b38e29d7443a9f
contract.validate.credential_sources_conflict.jsonl	contract.validate	credential_sources_conflict	stdout	2	202	38689201548d12c243385d3dcc5c3389952b5889118198571e6a333ddc96ff2c
contract.validate.invalid_semantic.jsonl	contract.validate	invalid_semantic	stdout	0	310	4d3020962c32e42103df8995fec90d20e955382999384f3c55a3aeb9783ac4e9
contract.validate.invalid_syntax.jsonl	contract.validate	invalid_syntax	stdout	0	331	730a69e87f38dcc258f2b6091f818e8baf910c184408aae28f59c0fe6ca799a0
contract.validate.local_error.jsonl	contract.validate	local_error	stdout	2	152	52713bf195cb0718cdd3c86632b94d58c555a65c08584394a054148dc38e1640
contract.validate.output_render_failed.stderr	contract.validate	output_render_failed	stderr	2	65	c59a235ba1ff939bca968ee64195ad0fd9458b8010ce758ef4af95c8ec4f2e2b
contract.validate.output_too_large.stderr	contract.validate	output_too_large	stderr	2	66	5ad555d66f2bdcda1fd1af3523dad5094c6b253c2ee631619725b2d3ecd24ef3
contract.validate.path_invalid.jsonl	contract.validate	path_invalid	stdout	2	159	a3b255cc7e0be5c8f741f5b529193ef0f4554ce87d996f1083f6175c0f35ab41
contract.validate.public_error.jsonl	contract.validate	public_error	stdout	1	311	d3b57e96f98351a68cc144b121db1c90578d2e6884fbae2d88164f5d8bc629e6
contract.validate.valid.jsonl	contract.validate	valid	stdout	0	102	14e9db534448146910fa1d9158a9c4d4328025bfb96cda462a80a0f5cafd4ee7
contract.deploy.activated.jsonl	contract.deploy	activated	stdout	0	418	288b81732e50d84a3e0034d940b232f5b0ce64cbc50ba0769be351166e69596f
contract.deploy.already_active.jsonl	contract.deploy	already_active	stdout	0	423	55b2e99e3cea6f9cb5676f320f291055eebed5c2a74bfc1e0c9fd17aed73a1e1
contract.deploy.bundle_conflict.jsonl	contract.deploy	bundle_conflict	stdout	0	110	d17a9aec99a4abbdb5d1097f9b3066b68c86001241273b7efccf267194a92bfc
contract.deploy.expected_version_mismatch_absent.jsonl	contract.deploy	expected_version_mismatch_absent	stdout	0	120	809939b30400d08f3e88472bcf663f9f09c1a098d14c4b2ba3f799693a83bced
contract.deploy.expected_version_mismatch_present.jsonl	contract.deploy	expected_version_mismatch_present	stdout	0	148	a62f539d8b1402d1d90c950931ef46e99c4edf9125c4bd946380d8a6155e0e41
contract.deploy.local_error.jsonl	contract.deploy	local_error	stdout	2	161	dcba27e5ca59796cff9b4a179d6a0c8ac88b01a81f1fc3978c05faa6e7756b62
contract.deploy.public_error.jsonl	contract.deploy	public_error	stdout	1	284	313912b804fb57443032b414292feb3eb6f0f45f8aa88d5cbd594cab3adf2759
command.execute.committed.jsonl	command.execute	committed	stdout	0	599	ab5a9a328ee1abdc63b6340e398a7c5e204bc9179b2368989b78276931e11aab
command.execute.executed_read_only.jsonl	command.execute	executed_read_only	stdout	0	282	03fe19758df3cd7217a5358879a34eef863a508814936de2e7dd996de3449f50
command.execute.idempotency_key_reuse.jsonl	command.execute	idempotency_key_reuse	stdout	1	226	4d22d6755bcef37e0d9f7a194e214f9ec8bb14eb32713d2104a9280258a7f0d2
command.execute.local_error.jsonl	command.execute	local_error	stdout	2	163	8bc17b01d4114e9353bee434de6956eadf0c214bdaae9a73e8c08a790ac8e13d
command.execute.public_error.jsonl	command.execute	public_error	stdout	1	279	f74fcb5d5e1fbb7aa2a81b6056dacf95ba071459c29ff8e03db6eae8d9c06363
command.execute.replayed.jsonl	command.execute	replayed	stdout	0	598	2dd94b76194caa8e91ed83cf8b6aa0cef7134f08fcd4bdf51f37aef2253c63f4
command.execute.resource_limit.jsonl	command.execute	resource_limit	stdout	1	277	c5246d332cee1c405924d122e7e3e97be2d4d0ef09bb31060f13e83f9dfb6530
command.execute.uncertain.jsonl	command.execute	uncertain	stdout	3	229	dddb8594645e1376b919db3911f4e0bca63b639686f0364d910ca40ed4ee656f
command.outcome.found.jsonl	command.outcome	found	stdout	0	627	5c685be051566820ebac1e34da806c40867f82e4610311d1041c5f4c7a2bf789
command.outcome.local_error.jsonl	command.outcome	local_error	stdout	2	150	8f8ee64cd904c38d885b6070540b64886fecd4c44b344c1aaffecb776e8303b5
command.outcome.not_found.jsonl	command.outcome	not_found	stdout	0	104	97db267a66031f622e933b3d9d0099a3096fbfa9a57cff8e4c8eac0bccd59832
command.outcome.public_error.jsonl	command.outcome	public_error	stdout	3	223	8d7a4cac92838dbdc907ae248cc73faa69b4a016b4f15b87a87a5baf2c1e2343
