riffdb_response_charge_fixture_version	1
service_response_charge_version	1
ceiling_bytes	4194304
case_id	response_family	response_variant	shape_v1	service_charge_bytes	disposition
boundary.exact_ceiling	boundary	exact_ceiling	synthetic_charge_bytes=4194304	4194304	release
boundary.one_over	boundary	one_over	synthetic_charge_bytes=4194305	4194305	response_too_large
commit_notification.commit_oversize	commit_notification	commit	actor_id_bytes=13,affected_entity_count=1024,conflict_hash_count=0,entity_key_bytes=4096,event_count=0,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,tenant_scope=global	4227733	response_too_large
commit_notification.commit_representative	commit_notification	commit	actor_id_bytes=13,affected_entity_count=2,conflict_hash_count=0,entity_key_bytes=24,event_count=0,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,tenant_scope=global	773	release
commit_notification.terminal	commit_notification	terminal	reason=lifetime_elapsed,resume_frontier=applied_through,resume_sequence=1	96	release
contract_validation.invalid_empty_source	contract_validation	invalid	diagnostic_0_code=RDB-S005,diagnostic_0_code_bytes=8,diagnostic_0_expected_0_bytes=8,diagnostic_0_expected_count=1,diagnostic_0_help_bytes=66,diagnostic_0_span_end=0,diagnostic_0_span_start=0,diagnostic_0_summary_bytes=57,diagnostic_count=1,diagnostic_kind=syntax	379	release
contract_validation.valid	contract_validation	valid	none	48	release
create_capability.created	create_capability	normal_created	administration_sequence=1,capability_id_bytes=16,revision=1,token_text_bytes=43	187	release
deploy_contract.activated	deploy_contract	activated	bundle_hash_bytes=32,contract_version=1,lineage_bytes=7,plan_root_hash_bytes=32,source_hash_bytes=32	231	release
execute_command.journaled	execute_command	journaled	commit_sequence=1,completion=committed,contract_version=1,durability=synchronous,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,plan_hash_bytes=32,provenance_locator_bytes=56	392	release
execute_command.read_only	execute_command	read_only	contract_version=1,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,plan_hash_bytes=32	272	release
explain_command.found_budget	explain_command	found	binding_count=1,command_id=1,contract_version=1,event_count=0,input_schema_json_bytes=649,invariant_count=2,lineage_bytes=10,outcome_count=3,outcome_schema_json_bytes=1704,plan_hash_bytes=32,read_field_count=2,rendered_explain_bytes=1984,schema_hash_bytes=32,write_field_count=3	5731	release
get_active_contract.present	get_active_contract	present	bundle_hash_bytes=32,contract_version=1,lineage_bytes=7,plan_root_hash_bytes=32,source_hash_bytes=32	231	release
get_commit.found_oversize	get_commit	found	actor_id_bytes=13,affected_entity_count=1024,conflict_hash_count=0,entity_key_bytes=4096,event_count=0,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,tenant_scope=global	4227733	response_too_large
get_commit.found_representative	get_commit	found	actor_id_bytes=13,affected_entity_count=2,conflict_hash_count=0,entity_key_bytes=24,event_count=0,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,tenant_scope=global	773	release
get_entity.found_record	get_entity	found	entity_key_bytes=24,entity_version=1,field_count=1,field_id=1,field_value_kind=string,field_value_string_bytes=17,written_by_contract=1	281	release
get_outcome.found_replayed	get_outcome	found	commit_sequence=1,completion=replayed,contract_version=1,durability=synchronous,lineage_bytes=7,outcome_field_count=0,outcome_name_bytes=9,plan_hash_bytes=32,provenance_locator_bytes=56	392	release
health.authenticated	health	authenticated	active_contract_version=1,build_feature_0_bytes=3,build_feature_1_bytes=4,build_feature_count=2,component_count=3,contract_ir_version=1,git_revision_bytes=16,last_commit_sequence=1,mcp_baseline_bytes=10,rust_version_bytes=6,semantic_version_bytes=5,storage_format_version=1	428	release
health.prebootstrap	health	prebootstrap	lifecycle=initializing_bootstrap,liveness=true,readiness=false	112	release
projection_status.uninitialized	projection_status	found	authoritative_frontier=applied_through,authoritative_sequence=1,candidate_present=false,failure_present=false,lifecycle=building,lineage_bytes=7,plan_hash_bytes=32,projection_id=1,published_present=false	167	release
query_projection.ready_page	query_projection	ready	cursor_bytes=16,field_count=1,field_id=1,field_value_kind=string,field_value_string_bytes=11,frontier=applied_through,frontier_sequence=1,generation=1,group_component_0_kind=string,group_component_0_string_bytes=5,group_component_count=1,item_count=1,lineage_bytes=7,plan_hash_bytes=32,projection_id=1	631	release
revoke_capability.revoked	revoke_capability	revoked	administration_sequence=1,capability_id_bytes=16,revision=1	128	release
scan_commits.page_with_cursor	scan_commits	page	actor_id_bytes_per_item=13,affected_entity_count_per_item=2,cursor_bytes=16,entity_key_bytes=24,fence=applied_through,fence_sequence=1,item_count=1,lineage_bytes_per_item=7,outcome_field_count_per_item=0,outcome_name_bytes_per_item=9	917	release
scan_index.page_with_cursor	scan_index	page	cursor_bytes=16,epoch=1,field_count_per_item=1,field_id_per_item=1,field_value_kind=string,index_key_bytes_per_item=20,item_0_string_bytes=7,item_1_string_bytes=13,item_count=2	652	release
stats.populated	stats	populated	active_commit_subscribers=3,active_cursors=7,known_projections=2,last_commit_sequence=1,pending_outbox_deliveries=11	112	release
