riffdb-durable-wire-vectors-v2
records	26
riffdb.storage.v1.StoredStorageFormatVersionV1	0801	5244423202010001000000029e1e37690801
riffdb.storage.v1.StoredDatabaseIdentityV1	0a1011111111111171119111111111111111	5244423202020001000000122e0c7e780a1011111111111171119111111111111111
riffdb.storage.v1.StoredApplicationSequenceAllocatorV1	0801	5244423202030001000000029e1e37690801
riffdb.storage.v1.StoredAdministrationSequenceAllocatorV1	0801	5244423202040001000000029e1e37690801
riffdb.storage.v1.StoredContractBundleV1	0a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151512212636f6d70696c65642d62756e646c652d7631	52444232020500010000004652dde14c0a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151512212636f6d70696c65642d62756e646c652d7631
riffdb.storage.v1.ActiveCatalogPointerV1	0a0c636f6465632d73616d706c6510011a205151515151515151515151515151515151515151515151515151515151515151	524442320206000100000032e0a99f600a0c636f6465632d73616d706c6510011a205151515151515151515151515151515151515151515151515151515151515151
riffdb.storage.v1.StoredCatalogAdministrationV1	08011210131313131313731393131313131313131a040864100522270a0f636f6465632d7072696e636970616c10011a1012121212121272129212121212121212200132320a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151513a10636174616c6f672d617070726f76616c	5244423202070001000000894440021008011210131313131313731393131313131313131a040864100522270a0f636f6465632d7072696e636970616c10011a1012121212121272129212121212121212200132320a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151513a10636174616c6f672d617070726f76616c
riffdb.storage.v1.StoredEntityRecordV1	0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d000000020000000101030000000000000042000000020107000000024243	52444232020800010000006ea5dc4cdd0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d000000020000000101030000000000000042000000020107000000024243
riffdb.storage.v1.StoredIndexEntryV1	0a234901000000010000000767726f75702d610000000e450100000001000000000000000712320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211a20010d000000020000000101030000000000000044000000020107000000024445	52444232020900010000007b03f633ee0a234901000000010000000767726f75702d610000000e450100000001000000000000000712320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211a20010d000000020000000101030000000000000044000000020107000000024445
riffdb.storage.v1.StoredIndexEpochV1	0a114901000000010000000767726f75702d6112320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211801	52444232020a000100000049da61469a0a114901000000010000000767726f75702d6112320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211801
