riffdb-durable-wire-vectors-v1
records	26
riffdb.storage.v1.StoredStorageFormatVersionV1	0801	0801122e7269666664622e73746f726167652e76312e53746f72656453746f72616765466f726d617456657273696f6e56311a0208012569371e9e2a2007371c0b9eba9bfcad3118b345064b3d33a20a13641c6bde017e5c99dc6020ab
riffdb.storage.v1.StoredDatabaseIdentityV1	0a1011111111111171119111111111111111	0801122a7269666664622e73746f726167652e76312e53746f72656444617461626173654964656e7469747956311a120a101111111111117111911111111111111125787e0c2e2a20de6f4f35fa52ca7664a85d9ffaa0041c506f3c5eb22632ba0ecd757dc6df1dea
riffdb.storage.v1.StoredApplicationSequenceAllocatorV1	0801	080112367269666664622e73746f726167652e76312e53746f7265644170706c69636174696f6e53657175656e6365416c6c6f6361746f7256311a0208012569371e9e2a20ff01f9e77e1d0ae47de12badcd541131a58fc6926b27543c681f0151f49aa24a
riffdb.storage.v1.StoredAdministrationSequenceAllocatorV1	0801	080112397269666664622e73746f726167652e76312e53746f72656441646d696e697374726174696f6e53657175656e6365416c6c6f6361746f7256311a0208012569371e9e2a2063cf6435a08786b0fae6e5eef2fde7c1e13395309e1e746a66e2c8b61c49e078
riffdb.storage.v1.StoredContractBundleV1	0a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151512212636f6d70696c65642d62756e646c652d7631	080112287269666664622e73746f726167652e76312e53746f726564436f6e747261637442756e646c6556311a460a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151512212636f6d70696c65642d62756e646c652d7631254ce1dd522a209ab617c11cddbe37f1b0baff69e4518cee2fae118faa74e973339f6c64d9bee5
riffdb.storage.v1.ActiveCatalogPointerV1	0a0c636f6465632d73616d706c6510011a205151515151515151515151515151515151515151515151515151515151515151	080112287269666664622e73746f726167652e76312e416374697665436174616c6f67506f696e74657256311a320a0c636f6465632d73616d706c6510011a20515151515151515151515151515151515151515151515151515151515151515125609fa9e02a20e9dd5c5a17954838ef39d7ba0b5ed7289c5b9845f36ada5bf0771dcdd322139d
riffdb.storage.v1.StoredCatalogAdministrationV1	08011210131313131313731393131313131313131a040864100522270a0f636f6465632d7072696e636970616c10011a1012121212121272129212121212121212200132320a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151513a10636174616c6f672d617070726f76616c	0801122f7269666664622e73746f726167652e76312e53746f726564436174616c6f6741646d696e697374726174696f6e56311a890108011210131313131313731393131313131313131a040864100522270a0f636f6465632d7072696e636970616c10011a1012121212121272129212121212121212200132320a0c636f6465632d73616d706c6510011a2051515151515151515151515151515151515151515151515151515151515151513a10636174616c6f672d617070726f76616c25100240442a20d63bcee2f28647b1df87ada70c7215d3d675d797b3e0345bf37f54e069913489
riffdb.storage.v1.StoredEntityRecordV1	0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d000000020000000101030000000000000042000000020107000000024243	080112267269666664622e73746f726167652e76312e53746f726564456e746974795265636f726456311a6e0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d00000002000000010103000000000000004200000002010700000002424325dd4cdca52a200ed76bcf3ead5c86e837d52602133227f3e429f2870edbecc42a79abf1f1485a
riffdb.storage.v1.StoredIndexEntryV1	0a234901000000010000000767726f75702d610000000e450100000001000000000000000712320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211a20010d000000020000000101030000000000000044000000020107000000024445	080112247269666664622e73746f726167652e76312e53746f726564496e646578456e74727956311a7b0a234901000000010000000767726f75702d610000000e450100000001000000000000000712320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211a20010d00000002000000010103000000000000004400000002010700000002444525ee33f6032a20f02563c45810a98451679fb13ed17b93ee7adc466bf5cf49ab643919ded5bce8
riffdb.storage.v1.StoredIndexEpochV1	0a114901000000010000000767726f75702d6112320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211801	080112247269666664622e73746f726167652e76312e53746f726564496e64657845706f636856311a490a114901000000010000000767726f75702d6112320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121211801259a4661da2a2084a7e49bc9f0212f145af06149a060b28c60351f3ccd64327c972e0fa95bbe9e
riffdb.storage.v1.StoredPendingAdmissionV1	0a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d61	0801122a7269666664622e73746f726167652e76312e53746f72656450656e64696e6741646d697373696f6e56311ac7020a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d61253479f8702a20e71f84eeb7fe3307549a3d6bbd8c25dcb87a9f31e6b4831853c9f06a7649e872
