riffdb-proto-wire-vectors-v1
value.null 0800
value.bool-false 1000
value.i64-minus-one 1801
value.u64-max 20ffffffffffffffffff01
value.decimal 2a060a02ff7f1002
value.money 320d0a0355534412060a0204d21002
value.string 3a0472696666
value.bytes 420200ff
value.uuid 4a1011111111111111111111111111111111
value.date 52020801
value.timestamp 5a08080110ff93ebdc03
value.enum 62040807100b
value.list 6a080a0208000a021001
value.record 72100a0608031a0218020a0608091a021804
execute.request-active 0a10019bf6aaa6407de689c98a7f70bbbd23120e6275646765742e7265736572766522020800
execute.request-versioned 0a10019bf6aaa6407de689c98a7f70bbbd23120e6275646765742e72657365727665180722020800
execute.response-committed 080110081807222022222222222222222222222222222222222222222222222222222222222222222a085265736572766564320210013a387269666664623a2f2f70726f76656e616e63652f30313962663661612d613634302d376465362d383963392d386137663730626262643233420473796e63
error.validation 0801121176616c69646174696f6e5f6661696c65641a19726571756573742076616c69646174696f6e206661696c656420012a0c0a0a08031202080312021001
error.idempotency 080212156964656d706f74656e63795f6b65795f72657573651a2f6964656d706f74656e6379206b65792077617320726575736564207769746820646966666572656e7420696e7075742001
error.authorization 08031214617574686f72697a6174696f6e5f64656e6965641a1b6f7065726174696f6e206973206e6f7420617574686f72697a65642004
error.concurrency 0804121d636f6e63757272656e63795f646561646c696e655f65786365656465641a1d636f6e63757272656e637920646561646c696e652065786365656465642002
error.contract 08051211636f6e74726163745f6d69736d617463681a27636f6e74726163742076657273696f6e206f7220706c616e20646f6573206e6f74206d61746368200532020807
error.storage 0806121373746f726167655f756e617661696c61626c651a2273746f726167652069732074656d706f726172696c7920756e617661696c61626c652002
error.outcome-unknown 0807120f6f7574636f6d655f756e6b6e6f776e1a20636f6d6d616e64206f7574636f6d65206973206e6f7420796574206b6e6f776e2003
error.internal 0808120f696e7465726e616c5f6465666563741a1a616e20696e7465726e616c206572726f72206f6363757272656420063a10019bf6aaa6407de689c98a7f70bbbd23
