agent-blog/post_by_slug post.post_id <- route.post_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=2 query_projected_values<=8 query_result_bytes<=6967 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-blog/post_page author.author_id <- post.author_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=116 query_projected_values<=323 query_result_bytes<=122623 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-blog/post_page comments.post_id <- post.post_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=50 probes<=51 access_key_bytes<=5400 query_intermediates<=116 query_projected_values<=323 query_result_bytes<=122623 missing=empty cursor=opaque authority=sealed explain=sealed plan_identity=sealed
agent-blog/post_page post_tags.post_id <- post.post_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=32 probes<=33 access_key_bytes<=3584 query_intermediates<=116 query_projected_values<=323 query_result_bytes<=122623 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-blog/post_page tags.tag_id <- post_tags.tag_id shape=dependent-batch partition=shared driver_rows<=32 fanout_rows<=32 probes<=32 access_key_bytes<=1216 query_intermediates<=116 query_projected_values<=323 query_result_bytes<=122623 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-orders/customer_history orders.customer_id <- customer.customer_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=499 probes<=500 access_key_bytes<=53892 query_intermediates<=500 query_projected_values<=1998 query_result_bytes<=404545 missing=empty cursor=opaque authority=sealed explain=sealed plan_identity=sealed
agent-orders/inventory_dashboard products.product_id <- inventory.product_id shape=dependent-batch partition=shared driver_rows<=499 fanout_rows<=499 probes<=499 access_key_bytes<=18962 query_intermediates<=998 query_projected_values<=4491 query_result_bytes<=974880 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-orders/order_page customer.customer_id <- purchase.customer_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=202 query_projected_values<=807 query_result_bytes<=180671 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-orders/order_page lines.order_id <- purchase.order_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=100 probes<=101 access_key_bytes<=11200 query_intermediates<=202 query_projected_values<=807 query_result_bytes<=180671 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
agent-orders/order_page products.product_id <- lines.product_id shape=dependent-batch partition=shared driver_rows<=100 fanout_rows<=100 probes<=100 access_key_bytes<=3800 query_intermediates<=202 query_projected_values<=807 query_result_bytes<=180671 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/project_summary recent_tickets.project_id <- project.project_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=10 probes<=11 access_key_bytes<=1000 query_intermediates<=11 query_projected_values<=42 query_result_bytes<=10848 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page assignee.user_id <- ticket.assignee_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=optional-none cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page comments.ticket_id <- ticket.ticket_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=50 probes<=51 access_key_bytes<=6200 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page labels.label_id <- ticket_labels.label_id shape=dependent-batch partition=shared driver_rows<=50 fanout_rows<=50 probes<=50 access_key_bytes<=1900 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page project.project_id <- ticket.project_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page reporter.user_id <- ticket.reporter_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page ticket_labels.ticket_id <- ticket.ticket_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=50 probes<=51 access_key_bytes<=5600 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80483 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged assignee.user_id <- ticket.assignee_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=optional-none cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged comments.ticket_id <- ticket.ticket_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=50 probes<=51 access_key_bytes<=6200 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=empty cursor=opaque authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged labels.label_id <- ticket_labels.label_id shape=dependent-batch partition=shared driver_rows<=50 fanout_rows<=50 probes<=50 access_key_bytes<=1900 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged project.project_id <- ticket.project_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged reporter.user_id <- ticket.reporter_id shape=point partition=shared driver_rows<=1 fanout_rows<=1 probes<=1 access_key_bytes<=38 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=IntegrityFailure cursor=none authority=sealed explain=sealed plan_identity=sealed
ticketdesk/ticket_page_paged ticket_labels.ticket_id <- ticket.ticket_id shape=bounded-index partition=shared driver_rows<=1 fanout_rows<=50 probes<=51 access_key_bytes<=5600 query_intermediates<=155 query_projected_values<=314 query_result_bytes<=80616 missing=empty cursor=none authority=sealed explain=sealed plan_identity=sealed
